Mouse 	Cage 	Day	Gender	Co_Housed	Genotype	Treatment_Grp	Treatment_1	Treatment_2	Colonization_stat630	CFU_g	Experiment 
18_3	18	10	female	yes	RAG	630_VPI 	630	VPI	colonized	3000000	2014
18_3	18	16	female	yes	RAG	630_VPI 	630	VPI	colonized	5000000	2014
18_3	18	22	female	yes	RAG	630_VPI 	630	VPI	colonized	2800000	2014
18_3	18	31	female	yes	RAG	630_VPI 	630	VPI	colonized	32000	2014
18_3	18	40	female	yes	RAG	630_VPI 	630	VPI	colonized	358000	2014
18_4	18	1	female	yes	RAG	630_VPI 	630	VPI	colonized	49000000	2014
18_4	18	4	female	yes	RAG	630_VPI 	630	VPI	colonized	30000000	2014
18_4	18	7	female	yes	RAG	630_VPI 	630	VPI	colonized	5000000	2014
18_4	18	10	female	yes	RAG	630_VPI 	630	VPI	colonized	4700000	2014
18_4	18	16	female	yes	RAG	630_VPI 	630	VPI	colonized	1170000	2014
18_4	18	22	female	yes	RAG	630_VPI 	630	VPI	colonized	130000	2014
18_4	18	31	female	yes	RAG	630_VPI 	630	VPI	colonized	14000	2014
18_4	18	40	female	yes	RAG	630_VPI 	630	VPI	colonized	346000	2014
18_5	18	1	female	yes	RAG	630_VPI 	630	VPI	colonized	56000000	2014
18_5	18	4	female	yes	RAG	630_VPI 	630	VPI	colonized	35000000	2014
18_5	18	7	female	yes	RAG	630_VPI 	630	VPI	colonized	4400000	2014
18_5	18	10	female	yes	RAG	630_VPI 	630	VPI	colonized	1200000	2014
18_5	18	16	female	yes	RAG	630_VPI 	630	VPI	colonized	9000000	2014
18_5	18	22	female	yes	RAG	630_VPI 	630	VPI	colonized	230000	2014
18_5	18	31	female	yes	RAG	630_VPI 	630	VPI	colonized	24000	2014
18_5	18	40	female	yes	RAG	630_VPI 	630	VPI	colonized	264000	2014
977_1	977	1	female	yes	WT	630_VPI 	630	VPI	colonized	29000000	2014
977_1	977	4	female	yes	WT	630_VPI 	630	VPI	colonized	58000000	2014
977_1	977	7	female	yes	WT	630_VPI 	630	VPI	colonized	15000000	2014
977_1	977	10	female	yes	WT	630_VPI 	630	VPI	colonized	1900000	2014
977_1	977	16	female	yes	WT	630_VPI 	630	VPI	colonized	590000	2014
977_1	977	22	female	yes	WT	630_VPI 	630	VPI	colonized	690000	2014
977_1	977	31	female	yes	WT	630_VPI 	630	VPI	colonized	8000	2014
